title,tv,year,rating,score_imdb,score_rotten,available_on,show_or_movie
The Rescuers Down Under,,1990,all,6.9,69%,Disney Plus,Movie
Tinker Bell and the Lost Treasure,,2009,all,6.7,100%,Disney Plus,Movie
Phineas and Ferb,TV,2007,all,7.9,,Disney Plus,TV
Spider-Man,TV,1994,all,8.3,,Disney Plus,TV
Teen Beach Movie,,2013,7+,5.9,86%,Disney Plus,Movie
Darby O'Gill and the Little People,,1959,all,7.2,100%,Disney Plus,Movie
The Great Muppet Caper,,1981,all,7.2,76%,Disney Plus,Movie
Halloweentown,,1998,all,6.8,80%,Disney Plus,Movie
Secretariat,,2010,7+,7.2,63%,Disney Plus,Movie
Pollyanna,,1960,all,7.4,86%,Disney Plus,Movie
Atlantis: The Lost Empire,,2001,7+,6.9,49%,Disney Plus,Movie
Stargirl,,2020,7+,6.2,71%,Disney Plus,Movie
The Imagineering Story,TV,2019,7+,9.1,100%,Disney Plus,TV
High School Musical 2,,2007,all,5.0,82%,Disney Plus,Movie
Boy Meets World,TV,1993,all,8.1,,Disney Plus,TV
Brother Bear,,2003,all,6.8,37%,Disney Plus,Movie
Journey to the Center of the Earth,,1959,all,7.0,86%,Disney Plus,Movie
Percy Jackson & the Olympians: The Lightning Thief,,2010,7+,5.9,50%,Disney Plus,Movie
Muppets Most Wanted,,2014,7+,6.4,80%,Disney Plus,Movie
Star vs. the Forces of Evil,TV,2015,7+,8.1,,Disney Plus,TV
Cars 2,,2011,all,6.1,39%,Disney Plus,Movie
Adventures in Babysitting,,2016,all,6.0,100%,Disney Plus,Movie
Secret of the Wings,,2012,all,7.1,60%,Disney Plus,Movie
The Color of Friendship,,2000,7+,7.2,100%,Disney Plus,Movie
The Journey of Natty Gann,,1985,7+,7.1,91%,Disney Plus,Movie
Oliver & Company,,1988,all,6.7,51%,Disney Plus,Movie
Descendants 2,,2017,all,6.5,67%,Disney Plus,Movie
Tinker Bell and the Great Fairy Rescue,,2010,all,6.9,78%,Disney Plus,Movie
"Davy Crockett, King of the Wild Frontier",,1955,all,7.0,100%,Disney Plus,Movie
Dumbo,,2019,7+,6.3,47%,Disney Plus,Movie
Dinosaur,,2000,7+,6.5,64%,Disney Plus,Movie
That Darn Cat!,,1965,all,6.8,94%,Disney Plus,Movie
3 Men and a Baby,,1987,7+,6.0,75%,Disney Plus,Movie
Monkey Kingdom,,2015,all,7.3,93%,Disney Plus,Movie
DuckTales,TV,1987,7+,8.1,,Disney Plus,TV
African Cats,,2011,all,7.6,73%,Disney Plus,Movie
The Three Caballeros,,1944,all,6.4,82%,Disney Plus,Movie
Lady and the Tramp,,2019,7+,6.3,68%,Disney Plus,Movie
Return to Oz,,1985,7+,6.7,52%,Disney Plus,Movie
High School Musical 3: Senior Year,,2008,all,4.8,64%,Disney Plus,Movie
The Boys: The Sherman Brothers' Story,,2009,7+,7.8,90%,Disney Plus,Movie
Kim Possible,TV,2002,7+,7.2,,Disney Plus,TV
Newsies,,1992,7+,7.0,39%,Disney Plus,Movie
The Love Bug,,1968,all,6.5,76%,Disney Plus,Movie
Tuck Everlasting,,2002,7+,6.6,60%,Disney Plus,Movie
Good Luck Charlie,TV,2010,all,7.0,,Disney Plus,TV
Blackbeard's Ghost,,1968,all,6.9,82%,Disney Plus,Movie
The Incredible Journey,,1963,all,7.1,89%,Disney Plus,Movie
"Hello, Dolly!",,1969,all,7.1,43%,Disney Plus,Movie
Camp Rock,,2008,all,5.2,45%,Disney Plus,Movie
Science Fair,,2018,7+,7.5,97%,Disney Plus,Movie
Turner & Hooch,,1989,7+,6.2,52%,Disney Plus,Movie
X-Men: Evolution,TV,2000,7+,7.9,,Disney Plus,TV
Wizards of Waverly Place,TV,2007,all,6.8,,Disney Plus,TV
Princess Protection Program,,2009,all,5.6,60%,Disney Plus,Movie
Lizzie McGuire,TV,2001,all,6.6,100%,Disney Plus,TV
